rank,personName,age,finalWorth,category,source,country,state,city,organization,selfMade,gender,birthDate,title
1292,Peter Lim,68,2400,Finance & Investments,investments,Singapore,,Singapore,,TRUE,M,06/01/1953,
1292,Sarah MacMillan,68,2400,Food & Beverage,Cargill,United States,California,Los Angeles,,FALSE,F,01/01/1954,
1292,Kalanithi Maran,56,2400,Media & Entertainment,media,India,,Chennai,,TRUE,M,7/26/1965,
1292,Lirio Parisotto,68,2400,Finance & Investments,investments,Brazil,,Manaus,,TRUE,M,12/18/1953,
1292,Rajan Raheja & family,67,2400,Diversified,diversified,India,,Mumbai,,FALSE,M,06/01/1954,
1292,Alberto Roemmers,95,2400,Healthcare,pharmaceuticals,Argentina,,Buenos Aires,,FALSE,M,01/01/1927,
1292,Rodney Sacks,72,2400,Food & Beverage,energy drinks,United States,California,Laguna Beach,Monster Beverage,TRUE,M,12/24/1949,CEO
1292,Ferit Faik Sahenk,58,2400,Diversified,diversified,Turkey,,Istanbul,,FALSE,M,3/18/1964,
1292,Hilton Schlosberg,69,2400,Food & Beverage,energy drinks,United States,California,Irvine,,TRUE,M,01/01/1953,
1292,Alberto Siccardi & family,77,2400,Healthcare,medical devices,Switzerland,,Lugano,,FALSE,M,05/01/1944,
1292,Salil Singhal,74,2400,Manufacturing,agrochemicals,India,,Delhi,,FALSE,M,7/21/1947,
1292,Lucy Stitzer,62,2400,Food & Beverage,Cargill,United States,Connecticut,Greenwich,,FALSE,F,01/01/1960,
1292,Otto Toto Sugiri,68,2400,Technology,data centers,Indonesia,,Jakarta,,TRUE,M,9/23/1953,
1292,Harley Sy,62,2400,Diversified,diversified,Philippines,,Manila,,FALSE,M,06/01/1959,
1292,Teresita Sy-Coson,71,2400,Diversified,diversified,Philippines,,Manila,,FALSE,F,10/01/1950,
1292,Katsumi Tada,76,2400,Real Estate,real estate,Japan,,Tokyo,,TRUE,M,07/12/1945,
1292,Tang Yiu,88,2400,Fashion & Retail,fashion retail,Hong Kong,,Hong Kong,,TRUE,M,04/01/1934,
1292,Jeff Tangney,49,2400,Healthcare,healthcare IT,United States,California,Palo Alto,Doximity,TRUE,M,08/09/1972,CEO
1292,Lottie Tham & family,72,2400,Fashion & Retail,H&M,Sweden,,Stockholm,,FALSE,F,4/18/1949,
1292,T.Y. Tsai,69,2400,Finance & Investments,finance,Taiwan,,Taipei,,FALSE,M,01/01/1953,
1292,Timur Turlov,34,2400,Finance & Investments,stock brokerage,Kazakhstan,,Almaty,,TRUE,M,11/13/1987,
1292,Hamdi Ulukaya,49,2400,Food & Beverage,greek yogurt,United States,New York,Norwich,Chobani,TRUE,M,10/26/1972,Entrepreneur
1292,Peter Unger,77,2400,Automotive,auto repair,Germany,,Neustadt an der Waldnaab,,TRUE,M,8/20/1944,
1292,Nikil Viswanathan,34,2400,Technology,blockchain technology,United States,California,San Francisco,,TRUE,M,10/16/1987,
1292,Anthony Wood,56,2400,Technology,Roku,United States,California,Palo Alto,,TRUE,M,12/04/1965,
1292,Zhang Hongwei,67,2400,Diversified,oil- banking,China,,Beijing,,TRUE,M,12/26/1954,
1292,Zhang Li,69,2400,Real Estate,real estate,China,,Guangzhou,,TRUE,M,01/01/1953,
1341,Houshan Bai,58,2300,Energy,lithium battery,China,,Ningbo,,TRUE,M,01/01/1964,
1341,Alex Beard,54,2300,Metals & Mining,mining- commodities,United Kingdom,,London,,TRUE,M,08/03/1967,
1341,Koos Bekker,69,2300,Media & Entertainment,media- investments,South Africa,,Cape Town,,TRUE,M,12/14/1952,
1341,William Boyd & family,90,2300,Gambling & Casinos,casinos- banking,United States,Nevada,Las Vegas,,TRUE,M,11/04/1931,
1341,Timothy Boyle,72,2300,Fashion & Retail,Columbia Sportswear,United States,Oregon,Portland,,TRUE,M,09/07/1949,
1341,Anand Burman,69,2300,Food & Beverage,consumer goods,India,,Delhi,,FALSE,M,05/05/1952,
1341,Richard Chandler,63,2300,Finance & Investments,investments,Singapore,,Singapore,,FALSE,M,01/01/1959,
1341,R.G. Chandramogan,73,2300,Food & Beverage,dairy,India,,Chennai,,TRUE,M,03/01/1949,
1341,Cho Young-sik,60,2300,Healthcare,diagnostics,South Korea,,Seoul,,TRUE,M,6/30/1961,
1341,Chu Lam Yiu,52,2300,Manufacturing,flavorings,Hong Kong,,Hong Kong,,TRUE,F,12/01/1969,
1341,Kommer Damen,78,2300,Manufacturing,shipbuilding,Netherlands,,Gorinchem,,FALSE,M,3/30/1944,
1341,Henry Davis,71,2300,Food & Beverage,beef processing,United States,Nebraska,Omaha,,FALSE,M,2/16/1951,
1341,Ray Davis,80,2300,Energy,pipelines,United States,Texas,Dallas,,TRUE,M,12/18/1941,
1341,Stephen Feinberg,62,2300,Finance & Investments,private equity,United States,New York,New York,Cerberus Capital Management,TRUE,M,3/29/1960,Co-founder and CEO
1341,Kenneth Feld & family,73,2300,Media & Entertainment,live entertainment,United States,Florida,Sarasota,Feld Entertainment,FALSE,M,10/31/1948,Chairman
1341,Alexander Frolov,57,2300,Metals & Mining,mining- steel,Russia,,Moscow,,TRUE,M,5/17/1964,
1341,Mario Germano Giuliani,50,2300,Healthcare,pharmaceuticals,Monaco,,Monaco,,FALSE,M,2/26/1972,
1341,Serge Godin,72,2300,Technology,information technology,Canada,,Westmount,CGI,TRUE,M,11/17/1949,Entrepreneur
1341,Noam Gottesman,60,2300,Finance & Investments,hedge funds,United States,New York,New York,TOMS Capital,TRUE,M,5/24/1961,Chief Executive Officer
1341,Philip & Cristina Green,70,2300,Fashion & Retail,fashion retail,United Kingdom,,London,,TRUE,,3/15/1952,
1341,Yusuf Hamied,85,2300,Healthcare,pharmaceuticals,India,,Mumbai,,FALSE,M,7/26/1936,
1341,Bill Haslam,63,2300,Fashion & Retail,gas stations,United States,Tennessee,Knoxville,,FALSE,M,8/23/1958,
1341,Hans-Werner Hector,82,2300,Technology,SAP,Germany,,Weinheim,,TRUE,M,1/17/1940,
1341,Ho Hung Anh,51,2300,Finance & Investments,consumer products- banking,Vietnam,,Hanoi,,TRUE,M,06/08/1970,
1341,Douglas Hsu,79,2300,Diversified,diversified,Taiwan,,Taipei,,FALSE,M,8/24/1942,
1341,Erman Ilicak,54,2300,Construction & Engineering,construction,Turkey,,Ankara,,TRUE,M,10/03/1967,
1341,Zhaobai Jiang,58,2300,Real Estate,real estate,China,,Shanghai,,TRUE,M,8/17/1963,
1341,Osman Kibar,51,2300,Healthcare,biotech,United States,California,La Jolla,Samumed,TRUE,M,04/01/1971,Founder- CEO
1341,Adam Kwok,39,2300,Real Estate,real estate,Hong Kong,,Hong Kong,,FALSE,M,04/01/1983,
1341,Frank Laukien,62,2300,Manufacturing,scientific equipment,United States,Massachusetts,Boston,,FALSE,M,02/04/1960,
1341,Louis Le Duff,75,2300,Food & Beverage,bakeries,France,,Paris,,TRUE,M,08/01/1946,
1341,Solomon Lew,77,2300,Fashion & Retail,retail,Australia,,Melbourne,,TRUE,M,3/22/1945,
1341,Liang Rubo,39,2300,Technology,TikTok,China,,Beijing,,TRUE,M,01/01/1983,
1341,Liang Zhaoxian,57,2300,Manufacturing,appliances,China,,Foshan,,FALSE,M,01/01/1965,
1341,Prayudh Mahagitsiri,76,2300,Food & Beverage,coffee- shipping,Thailand,,Bangkok,,FALSE,M,01/01/1946,
1341,Clayton Mathile,81,2300,Food & Beverage,pet food,United States,Ohio,Brookville,,TRUE,M,01/11/1941,Investor- Philanthropist
1341,Erwin Franz Mueller,89,2300,Fashion & Retail,drugstores,Germany,,Ulm,,TRUE,M,08/09/1932,Entrepreneur
1341,David Murdock,98,2300,Food & Beverage,Dole- real estate,United States,California,Ventura,,TRUE,M,04/10/1923,
1341,Rubens Ometto Silveira Mello,72,2300,Energy,sugar- ethanol,Brazil,,Sao Paulo,,FALSE,M,01/01/1950,
1341,Erik Paulsson & family,80,2300,Real Estate,construction- real estate,Sweden,,Båstad,,TRUE,M,1/31/1942,
1341,Heloise Pratt,59,2300,Manufacturing,manufacturing- investment,Australia,,Melbourne,,FALSE,F,9/13/1962,
1341,Qiu Jianping & family,60,2300,Manufacturing,hand tools,China,,Hangzhou,,TRUE,M,1/28/1962,
1341,Dirk Rossmann & family,75,2300,Fashion & Retail,drugstores,Germany,,Lower-Saxony,,TRUE,M,09/07/1946,
1341,Karin Schick,,2300,Technology,information technology,Germany,,Gaildorf,,FALSE,F,,Entrepreneur
1341,Stephan Schmidheiny,74,2300,Finance & Investments,investments,Switzerland,,Hurden,,FALSE,M,10/29/1947,
1341,Wenrong Shen,76,2300,Metals & Mining,steel production,China,,Zhangjiagang,,TRUE,M,2/13/1946,
1341,Guangxin Sun,59,2300,Diversified,diversified,China,,Urumqi,,TRUE,M,12/01/1962,
1341,Mengquan Sun & family,72,2300,Food & Beverage,edible oil,China,,Yantai,,TRUE,M,03/01/1950,
1341,Thomas Tull,51,2300,Media & Entertainment,movies- investments,United States,Pennsylvania,Pittsburgh,,TRUE,M,06/11/1970,
1341,Ted Turner,83,2300,Media & Entertainment,cable television,United States,Georgia,Atlanta,,FALSE,M,11/19/1938,
1341,David Walentas,83,2300,Real Estate,real estate,United States,New York,New York,,TRUE,M,08/07/1938,
1341,Yingming Wu,55,2300,Energy,batteries,China,,Ningde,,TRUE,M,01/01/1967,
1341,Yingzhuo Xu,54,2300,Food & Beverage,agribusiness,China,,Guangzhou,,TRUE,M,01/01/1968,
1341,Christoph Zeller,64,2300,Healthcare,dental materials,Liechtenstein,,Vaduz,,FALSE,M,05/04/1957,
1341,Zhang Wanzhen,72,2300,Manufacturing,electronics components,China,,Chaozhou,,TRUE,M,12/01/1949,
1341,Xiaojuan Zhang,52,2300,Logistics,logistics,China,,Shanghai,,TRUE,F,10/01/1969,
1397,Michael Ashcroft,76,2200,Finance & Investments,security,Turks and Caicos Islands,,Turks and Caicos Islands,,TRUE,M,01/01/1946,
1397,Alex Atallah,30,2200,Technology,online marketplace,United States,New York,New York,OpenSea,TRUE,M,03/09/1992,Cofounder
1397,Brett Blundy,62,2200,Fashion & Retail,retail- agribusiness,Bahamas,,Paradise Island,,TRUE,M,1/17/1960,
1397,Chris Britt,49,2200,Finance & Investments,fintech,United States,California,San Francisco,,TRUE,M,3/17/1973,
1397,Cen Junda,57,2200,Healthcare,pharmaceuticals,China,,Lianyungang,,TRUE,M,6/18/1964,
1397,Yadu Hari Dalmia & family,74,2200,Manufacturing,cement,India,,Delhi,,FALSE,M,06/02/1947,
1397,Zhenggang Dou,68,2200,Diversified,energy- chemicals,China,,Hangzhou,,TRUE,M,5/21/1953,
1397,Weimin Du,58,2200,Healthcare,vaccines,China,,Shenzhen,,TRUE,M,12/01/1963,
1397,Devin Finzer,31,2200,Technology,online marketplace,United States,New York,New York,,TRUE,M,10/18/1990,
1397,Robert Friedland,71,2200,Metals & Mining,mining,Singapore,,Singapore,Ivanhoe Mines Ltd.,TRUE,M,8/18/1950,Founder and Executive Chairman
1397,Phillip Frost,85,2200,Healthcare,pharmaceuticals,United States,Florida,Miami Beach,,TRUE,M,11/11/1936,
1397,Jeffrey Gundlach,63,2200,Finance & Investments,investments,United States,California,Los Angeles,DoubleLine Capital,TRUE,M,01/01/1959,CEO
1397,John Hancock,46,2200,Metals & Mining,mining,United Kingdom,,London,,FALSE,M,01/02/1976,
1397,Georg Haub,60,2200,Fashion & Retail,retail,Germany,,Berlin,,FALSE,M,01/01/1962,
1397,Hortensia Herrero,71,2200,Fashion & Retail,supermarkets,Spain,,Valencia,,FALSE,F,5/20/1950,
1397,B. Wayne Hughes- Jr.,61,2200,Real Estate,storage facilities,United States,California,Malibu,,FALSE,M,01/01/1961,
1397,Bruce Karsh,66,2200,Finance & Investments,private equity,United States,California,Los Angeles,Oaktree Capital Group LLC,TRUE,M,10/10/1955,President
1397,Shlomo Kramer,56,2200,Technology,software- investments,Israel,,Tel Aviv,,TRUE,M,3/14/1966,
1397,Jonathan Kwok,30,2200,Real Estate,Real Estate,Hong Kong,,Hong Kong,,FALSE,M,03/01/1992,
1397,Christian Latouche,81,2200,Finance & Investments,accounting services,France,,Lyon,,TRUE,M,7/18/1940,
1397,Martin Lau,49,2200,Technology,e-commerce,Hong Kong,,Hong Kong,,TRUE,M,04/01/1973,
1397,Li Wa,56,2200,Real Estate,real estate,China,,Shenzhen,,TRUE,M,01/01/1966,
1397,Liang Xinjun,54,2200,Diversified,conglomerate,China,,Shanghai,,TRUE,M,01/01/1968,
1397,Lin Chang Su-O,81,2200,Real Estate,real estate,Taiwan,,Taipei,,FALSE,F,08/01/1940,
1397,Lin Fanlian,60,2200,Energy,energy- real estate,China,,Linyi,,TRUE,M,06/01/1961,
1397,Lin Lairong & family,53,2200,Metals & Mining,iron ore mining,China,,Bayannur,,TRUE,M,08/09/1968,
1397,Daniel Lubetzky,53,2200,Food & Beverage,snack bars,United States,New York,New York,,TRUE,M,9/28/1968,
1397,Howard Marks,75,2200,Finance & Investments,private equity,United States,New York,New York,Oaktree Capital Group LLC,TRUE,M,4/23/1946,Chairman
1397,Craig McCaw,72,2200,Telecom,telecom,United States,Washington,Hunts Point,,FALSE,M,08/11/1949,
1397,Vincent McMahon,76,2200,Sports,entertainment,United States,Connecticut,Greenwich,,TRUE,M,8/24/1945,
1397,Mu Rongjun,42,2200,Technology,e-commerce,China,,Beijing,,TRUE,M,01/01/1980,
1397,Jonathan Nelson,65,2200,Finance & Investments,private equity,United States,Rhode Island,Providence,Providence Equity Partners,TRUE,M,5/18/1956,Chief executive officer
1397,Bianca Rinehart,45,2200,Metals & Mining,mining,Australia,,Brisbane,,FALSE,F,3/19/1977,
1397,Ginia Rinehart,35,2200,Metals & Mining,mining,Australia,,Sydney,,FALSE,F,09/06/1986,
1397,Filiz Sahenk,55,2200,Diversified,diversified,Turkey,,Istanbul,,FALSE,F,2/14/1967,
1397,S.D. Shibulal,67,2200,Technology,software services,India,,Bangalore,,TRUE,M,03/01/1955,
1397,Alexander Svetakov,54,2200,Finance & Investments,real estate,Russia,,Moscow,,TRUE,M,2/15/1968,
1397,Jeffrey Talpins,47,2200,Finance & Investments,hedge fund,United States,New York,Larchmont,Element Capital Management,TRUE,M,03/06/1975,Founder
1397,Ming Tian,68,2200,Technology,measuring instruments,China,,Hefei,,TRUE,M,12/20/1953,
1397,Arvind Tiku,52,2200,Energy,oil & gas- investments,Singapore,,Singapore,,TRUE,M,2/22/1970,
1397,Torsten Toeller,55,2200,Fashion & Retail,pet food,Germany,,Krefeld,,TRUE,M,04/06/1966,
1397,Riaz Valani,45,2200,Finance & Investments,e-cigarettes,United States,California,Malibu,,TRUE,M,09/01/1976,
1397,Pieter van der Does,52,2200,Technology,payments software,Netherlands,,Amsterdam,,TRUE,M,05/01/1969,Entrepreneur
1397,Lang Walker,76,2200,Real Estate,real estate,Australia,,Sydney,,TRUE,M,07/05/1945,
1397,Hope Welker,36,2200,Metals & Mining,mining,United States,New York,New York,,FALSE,F,8/13/1985,
1397,Xie Bingkun & family,55,2200,Fashion & Retail,pearlescent pigments,China,,Fuzhou,,TRUE,M,8/25/1966,
1397,William Young,81,2200,Manufacturing,plastics,United States,Michigan,Ypsilanti,,TRUE,M,01/01/1941,
1397,Zhou Jian,45,2200,Energy,solar energy equipment,China,,Shenzhen,,TRUE,M,07/01/1976,
1445,Bill and Jean Adderley & family,,2100,Fashion & Retail,home furnishings,United Kingdom,,Leicester,,TRUE,,,
1445,Mohamed Al Fayed,93,2100,Fashion & Retail,retail- investments,United Kingdom,,London,,TRUE,M,1/27/1929,
1445,Faisal Bin Qassim Al Thani,74,2100,Diversified,hotels- diversified,Qatar,,Doha,,TRUE,M,01/01/1948,
1445,Masaaki Arai,56,2100,Real Estate,home sales,Japan,,Tokyo,,TRUE,M,10/29/1965,
1445,Tatyana Bakalchuk,46,2100,Fashion & Retail,ecommerce,Russia,,Moscow region,,TRUE,F,10/16/1975,
1445,Lee Bass,65,2100,Energy,oil- investments,United States,Texas,Fort Worth,,FALSE,M,5/24/1956,
1445,Alberto Bombassei,81,2100,Automotive,automotive brakes,Italy,,Bergamo,,FALSE,M,10/05/1940,
1445,Jim Breyer,60,2100,Technology,venture capital,United States,Texas,Austin,Breyer Capital,TRUE,M,7/26/1961,Investor
1445,Ron Burkle,69,2100,Finance & Investments,supermarkets- investments,United Kingdom,,London,The Yucaipa Companies- LLC,TRUE,M,11/12/1952,Investor
1445,Chen Huwen,51,2100,Manufacturing,stationery,China,,Shanghai,,TRUE,M,07/01/1970,
1445,Chen Huxiong,51,2100,Manufacturing,stationery,China,,Shanghai,,TRUE,M,07/01/1970,
1445,Chen Xuehua,61,2100,Metals & Mining,nonferrous,China,,Tongxiang,,TRUE,M,01/01/1961,
1445,Bruce Cheng,86,2100,Technology,electronics,Taiwan,,Taipei,,TRUE,M,01/01/1936,
1445,Ryan Cohen,36,2100,Finance & Investments,investments,United States,Florida,Bal Harbour,,TRUE,M,08/04/1985,
1445,Dermot Desmond,71,2100,Finance & Investments,finance,Ireland,,Dublin,,TRUE,M,07/01/1950,
1445,Fred Ehrsam,33,2100,Finance & Investments,cryptocurrency exchange,United States,Florida,Miami,Coinbase,TRUE,M,05/10/1988,Cofounder
1445,John Elkann,46,2100,Finance & Investments,FIAT- investments,Italy,,Turin,,FALSE,M,01/04/1976,
1445,Bob Ell,77,2100,Real Estate,real estate,Australia,,Surfers Paradise,,TRUE,M,12/22/1944,
1445,Fang Xiaoliang & family,63,2100,Healthcare,biotech,China,,Huzhou,,TRUE,M,09/01/1958,
1445,Lindsay Fox,84,2100,Logistics,logistics- real estate,Australia,,Melbourne,,TRUE,M,4/19/1937,
1445,Gary Friedman,64,2100,Fashion & Retail,Furniture retail,United States,California,Belvedere,,TRUE,M,08/06/1957,
1445,Gordon Getty,88,2100,Energy,Getty Oil,United States,California,San Francisco,Ann & Gordon Getty Foundation,FALSE,M,12/20/1933,President and Chairman
1445,Dennis Gillings,77,2100,Healthcare,clinical trials,United States,North Carolina,Durham,,TRUE,M,4/25/1944,
1445,Harsh Goenka,64,2100,Diversified,diversified,India,,Mumbai,,FALSE,M,12/10/1957,
1445,David Hains,91,2100,Finance & Investments,Investments,Australia,,Melbourne,,TRUE,M,8/19/1930,
1445,Bahaa Hariri,55,2100,Real Estate,real estate- investments,Switzerland,,Geneva,,FALSE,M,4/26/1966,
1445,Shmuel Harlap,77,2100,Automotive,automotive,Israel,,Tel Aviv,,FALSE,M,11/13/1944,
1445,Gerry Harvey,82,2100,Fashion & Retail,retail,Australia,,Sydney,,TRUE,M,9/18/1939,
1445,Reid Hoffman,54,2100,Technology,LinkedIn,United States,California,Palo Alto,Greylock Partners,TRUE,M,08/05/1967,Entrepreneur
1445,Hou Juncheng,57,2100,Healthcare,cosmetics,China,,Hangzhou,,TRUE,M,12/17/1964,
1445,Thomas James,79,2100,Finance & Investments,finance,United States,Florida,Saint Petersburg,,FALSE,M,05/10/1942,
1445,Eiichi Kuriwada,75,2100,Logistics,package delivery,Japan,,Osaka,,TRUE,M,10/10/1946,
1445,Kwek Leng Kee,67,2100,Diversified,diversified,Singapore,,Singapore,,FALSE,M,01/01/1955,
1445,Lai Shixian,47,2100,Fashion & Retail,sports apparel,China,,Quanzhou,,TRUE,M,01/01/1975,
1445,Lau Cho Kun,86,2100,Diversified,palm oil- property,Malaysia,,Tawau- Sabah,,FALSE,M,01/10/1936,
1445,Lee Hae-jin,54,2100,Technology,Internet,South Korea,,Seoul,NAVER Corp.,TRUE,M,6/22/1967,
1445,Harald Link,67,2100,Diversified,diversified,Thailand,,Bangkok,,FALSE,M,01/12/1955,
1445,Liu Xiucai & family,65,2100,Manufacturing,chemicals,China,,Shanghai,,TRUE,M,03/01/1957,
1445,Yangyong Luo & family,46,2100,Metals & Mining,mining,China,,Panzhihua,,TRUE,M,06/02/1975,
1445,Igor Makarov,60,2100,Energy,investments,United States,Florida,Miami,,TRUE,M,04/05/1962,
1445,Alexander Mamut,62,2100,Finance & Investments,investments,Israel,,Tel Aviv,,TRUE,M,1/29/1960,
1445,David Mindus,50,2100,Real Estate,real estate,Sweden,,Stockholm,,TRUE,M,1/26/1972,
1445,Yuji Otsuka,68,2100,Technology,copy machines- software,Japan,,Tokyo,,FALSE,M,2/13/1954,
1445,Clive Palmer,68,2100,Metals & Mining,mining,Australia,,Brisbane,,TRUE,M,3/26/1954,
1445,Ajay Parekh,64,2100,Manufacturing,adhesives,India,,Mumbai,,FALSE,M,6/23/1957,
1445,Narendrakumar Parekh,83,2100,Manufacturing,adhesives,India,,Mumbai,,FALSE,M,4/17/1938,
1445,Xiangdong Qi,51,2100,Technology,software,China,,Beijing,,TRUE,M,10/01/1970,
1445,Jianhua Ren,65,2100,Manufacturing,kitchen appliances,China,,Hangzhou,,TRUE,M,08/01/1956,
1445,Alice Schwartz,95,2100,Healthcare,biotech,United States,California,El Cerrito,,TRUE,F,07/02/1926,
1445,Peter Sondakh,72,2100,Finance & Investments,investments,Indonesia,,Surabaya,,TRUE,M,2/26/1950,
1445,Song Fei,55,2100,Manufacturing,machinery,China,,Yantai,,TRUE,M,09/12/1966,
1445,Timothy Springer,74,2100,Healthcare,biotech,United States,Massachusetts,Chestnut Hill,,TRUE,M,2/23/1948,
1445,Suyu Su & family,73,2100,Real Estate,utilities- real estate,China,,Shantou,,TRUE,F,11/24/1948,
1445,Elizabeth Sy,69,2100,Diversified,diversified,Philippines,,Manila,,FALSE,F,06/01/1952,
1445,Sukanto Tanoto,72,2100,Diversified,diversified,Singapore,,Singapore,,TRUE,M,12/25/1949,
1445,Jayshree Ullal,61,2100,Technology,computer networking,United States,California,Saratoga,,TRUE,F,3/27/1961,
1445,Sunny Varkey,64,2100,Service,education,United Arab Emirates,,Dubai,,FALSE,M,04/09/1957,
1445,Jitendra Virwani,56,2100,Real Estate,real estate,India,,Bangalore,,FALSE,M,2/18/1966,
1445,Wang Ren-sheng,90,2100,Fashion & Retail,retail,China,,Zhengzhou,,TRUE,M,12/01/1931,
1445,Wang Wenmo,65,2100,Fashion & Retail,sports apparel,China,,Quanzhou,,TRUE,M,01/01/1957,
1445,Thomas Wu,72,2100,Finance & Investments,finance,Taiwan,,Taipei,,FALSE,M,04/01/1950,
1445,Wu Ying,57,2100,Manufacturing,materials,China,,Xianyang,,TRUE,M,4/16/1964,
1445,Amy Wyss,51,2100,Healthcare,medical equipment,United States,Wyoming,Wilson,,FALSE,F,01/01/1971,
1445,Xiang Guangming & family,58,2100,Manufacturing,waste disposal,China,,Wenzhou,,TRUE,M,10/01/1963,
1445,Xu Shugen,56,2100,Manufacturing,construction- mining machinery,China,,Hangzhou,,TRUE,M,06/12/1965,
1445,Steven Meng Yang & family,39,2100,Technology,electronics,China,,Changsha,,TRUE,M,05/01/1982,
1445,Clayton Zekelman,53,2100,Manufacturing,steel,Canada,,Windsor,,FALSE,M,01/01/1969,
1445,Hongfei Zhao,47,2100,Technology,software,China,,Beijing,,TRUE,M,06/01/1974,
1513,S. Daniel Abraham,97,2000,Food & Beverage,Slim-Fast,United States,Florida,Palm Beach,S. Daniel Abraham Center for Middle East Peace,TRUE,M,8/15/1924,Chairman
1513,Aziz Akhannouch & family,61,2000,Diversified,petroleum- diversified,Morocco,,Casablanca,,FALSE,M,01/01/1961,
1513,Andrey Andreev,48,2000,Technology,online dating,United Kingdom,,London,,TRUE,M,02/03/1974,
1513,Ramon Ang,68,2000,Food & Beverage,diversified,Philippines,,Manila,,TRUE,M,1/14/1954,
1513,Guilherme Benchimol,45,2000,Finance & Investments,financial services,Brazil,,Rio de Janeiro,,TRUE,M,07/07/1976,Investor
1513,Julio Bozano,86,2000,Finance & Investments,banking,Brazil,,Rio de Janeiro,,TRUE,M,02/01/1936,
1513,Ryan Breslow,27,2000,Technology,e-commerce software,United States,Florida,Miami,Bolt,TRUE,M,5/20/1994,Cofounder
1513,Cao Jianwei,43,2000,Manufacturing,semiconductors,China,,Shangyu,,TRUE,M,5/30/1978,
1513,Herb Chambers,80,2000,Automotive,car dealerships,United States,Massachusetts,Boston,,TRUE,M,01/01/1942,
1513,Daniel Chiu,61,2000,Energy,oil & gas,Hong Kong,,Hong Kong,,TRUE,M,11/30/1960,
1513,Tim Cook,61,2000,Technology,Apple,United States,California,Cupertino,Apple,TRUE,M,11/01/1960,CEO
1513,Brunello Cucinelli & family,68,2000,Fashion & Retail,fashion,Italy,,Solomeo,,TRUE,M,09/03/1953,
1513,Georgi Domuschiev,49,2000,Diversified,animal health- investments,United Kingdom,,London,,TRUE,M,08/06/1972,
1513,Kiril Domuschiev,52,2000,Diversified,animal health- investments,United Kingdom,,London,,TRUE,M,4/18/1969,
1513,Glenn Dubin,64,2000,Finance & Investments,hedge funds,United States,New York,New York,Highbridge Capital Management,TRUE,M,4/13/1957,Co-Founder
1513,James Duff,61,2000,Diversified,tires- diversified,United States,Mississippi,Hattiesburg,,TRUE,M,03/07/1961,
1513,Thomas Duff,65,2000,Diversified,tires- diversified,United States,Mississippi,Hattiesburg,,TRUE,M,12/31/1956,
1513,Robert Duggan,77,2000,Healthcare,pharmaceuticals,United States,Florida,Clearwater,,TRUE,M,4/28/1944,
1513,Maria Franca Fissolo,87,2000,Food & Beverage,Nutella- chocolates,Monaco,,Monaco,,FALSE,F,01/01/1935,
1513,Fu Mingkang & family,59,2000,Manufacturing,manufacturing,China,,Ningbo,,TRUE,M,3/17/1963,
1513,Jay Hennick,65,2000,Finance & Investments,real estate finance,Canada,,Toronto,,TRUE,M,1/20/1957,
1513,Orion Hindawi,42,2000,Technology,software,United States,Washington,Seattle,Tanium,TRUE,M,01/10/1980,CEO
1513,Ji Qi,55,2000,Real Estate,hotels- motels,China,,Shanghai,,TRUE,M,10/01/1966,
1513,Kim Chang-soo,61,2000,Fashion & Retail,apparel,South Korea,,Seoul,,TRUE,M,04/01/1961,
1513,Vyacheslav Kim,52,2000,Finance & Investments,fintech,Kazakhstan,,Almaty,,TRUE,M,06/12/1969,
1513,Kuan Kam Hon & family,74,2000,Manufacturing,rubber gloves,Malaysia,,Kuala Lumpur,,TRUE,M,09/04/1947,
1513,Egor Kulkov,50,2000,Healthcare,pharmaceuticals,Switzerland,,Grimisuat,,TRUE,M,12/07/1971,
1513,Josh Kushner,36,2000,Finance & Investments,venture capital,United States,New York,New York City,Thrive Capital,TRUE,M,06/12/1985,Managing Partner
1513,Henry Laufer,76,2000,Finance & Investments,hedge funds,United States,Florida,Lake Worth,,TRUE,M,8/13/1945,Investor
1513,Thomas Lee,78,2000,Finance & Investments,private equity,United States,New York,New York,,TRUE,M,3/27/1944,
1513,Michael Lee-Chin,71,2000,Finance & Investments,mutual funds,Canada,,Burlington,,TRUE,M,01/03/1951,
1513,Li Xuhui,53,2000,Food & Beverage,soy sauce,China,,Foshan,,TRUE,F,6/15/1968,
1513,Lim Kok Thay,70,2000,Gambling & Casinos,casinos,Malaysia,,Kuala Lumpur,,FALSE,M,8/16/1951,
1513,Joao Roberto Marinho,68,2000,Media & Entertainment,media,Brazil,,Rio de Janeiro,,FALSE,M,9/16/1953,
1513,Jose Roberto Marinho,66,2000,Media & Entertainment,media,Brazil,,Rio de Janeiro,,FALSE,M,12/26/1955,
1513,Roberto Irineu Marinho,74,2000,Media & Entertainment,media,Brazil,,Rio de Janeiro,,FALSE,M,10/13/1947,
1513,Jim McKelvey,56,2000,Technology,mobile payments,United States,Missouri,St. Louis,,TRUE,M,10/19/1965,
1513,Robert Miller,88,2000,Fashion & Retail,retail,Hong Kong,,Hong Kong,,TRUE,M,5/23/1933,
1513,David Nahmad,74,2000,Fashion & Retail,art collection,United States,New York,New York,,TRUE,M,4/14/1947,
1513,Florentino Perez,75,2000,Construction & Engineering,construction,Spain,,Madrid,,TRUE,M,03/08/1947,
